식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
훼미리손칼국수보쌈,Dominic92,12,2026.05.09,1번째 방문,영수증,오랜만에 방문했는데 엄청 불친절 하네요. 전반적으로 모든 직원이 불친절 합니다. 여기는 손님에게 반말이 기본인가요? 김치는 테이블에 던지고 배추좀 더 달라고 했더니 대꾸도 안하고 나중에 와서는 자기 서빙할때는 말하지 말라고 하네요. 정식에 나온 고기는 일부가 완전 지방 덩어리로 나왔습니다. 옛날엔 엄청난 맛집은 아니어도 푸짐하고 친절한 맛에 종종 방문했는데 이젠 다시 방문하거나 추천할일 없겠네요. 오랜만에 최악의 식당을 경험했습니다.,244,True
훼미리손칼국수보쌈,영영이8,2,2026.05.09,1번째 방문,영수증,"기대감을 안고 웨이팅까지 하면서 들어가 보쌈정식을 주문했는데 메뉴에 포함된 칼국수가 나오지 않았습니다. 두 번이나 문의했는데 “곧 나올 거예요”라는 답변만 들었고, 결국 저희보다 늦게 온 다른 테이블들은 다 받는 걸 보다가 그냥 식사 마치고 나왔네요. 계산할 때도 별다른 설명이나 사과 없이 정가 그대로 결제받아서 아쉬웠습니다. 손님 응대에 좀더 신경써주셔야 할 것 같습니다.",210,True
훼미리손칼국수보쌈,오홍홍97,709,2026.05.09,1번째 방문,영수증,맛이없어요,5,True
훼미리손칼국수보쌈,a7449,54,2026.05.05,1번째 방문,영수증,"정식은 2인분에 칼국수,밥 반공기정도 셋트로 나오는데 가격대비 맛있습니다 11시 반 되기전에 도착했는데 이미 손님들 다 앉아있더라구요 근데 불친절하셔서 기분은 안좋았습니다",95,True
훼미리손칼국수보쌈,prdsswhrim,3221,2026.05.03,1번째 방문,영수증,,0,True
훼미리손칼국수보쌈,시티즌38,24,2026.05.01,1번째 방문,영수증,"굉장히 좋아하는 식당입니다. 그래서 오랜 단골이에요. 그런데 최근 들어 예전만 못하다 싶은 생각이 들어 너무 아쉽습니다. 예전엔 손님으로 가득 차도 엄청 친절하신 남자 사장님이 직접 홀에서 진두 지휘하시며 착착 돌아가서 전혀 불편함이 없었거든요 그런데 요즘은 고기 상태도 갈 때마다 편차가 좀 있구요, 무엇보다 4인 고기양과 2인으로 갈 때 고기 양을 보면 2인 방문이 더 나은 것 같기도 합니다. 게다가 홀을 진두 지휘하시던 사장님이 안계시니 꽤 어수선(?)해요 혹시나 어디 편찮으신지 걱정되요 역시 요식업은 사장님이 직접 진두지휘하시는 곳이 뭐가 달라도 다른것 같습니다",320,True
훼미리손칼국수보쌈,sork****,3,2026.04.29,1번째 방문,영수증,자주 즐겨가는 집이예여 보쌈정식 맛있어요!!,24,True
훼미리손칼국수보쌈,뜬구름10,6,2026.04.21,1번째 방문,예약,평소에 회사 가까워서 자주 가는 맛집입니당. 점심때 줄을 너무 서야해서 일부러 날잡아서 엄청 빨리 가는데.. 이날은 고기가 너무 퍽퍽했어요 ㅠㅠ 전날꺼 데워주신 건가 싶을 정도로.. ㅠㅠ 맛 관리를 좀 더 신경써주시면 좋겠어요! 리뷰 진짜 안 쓰는데 애정해서 남깁니다.,150,False
훼미리손칼국수보쌈,ultrabyen,196,2026.04.16,1번째 방문,영수증,노포느낌의 식당이네요 잡내도 없고 맛있는데 김치들이 다 너무 달아요,37,True
훼미리손칼국수보쌈,foodkiller,1214,2026.04.15,2번째 방문,예약,보쌈이 진짜 맛있어요!! 잡내안남💥 3명이상이면 보쌈만 시켜도 되고 그 이하면 정식 시키면 됩니다,54,True
훼미리손칼국수보쌈,햄0215,56,2026.04.15,1번째 방문,영수증,정식 안 시켰다고 짜증내는 아줌마는 또 처음이네요.. 이제 안가요 1인1메뉴 시켰는데 이럴거면 칼국수를 메뉴에서 없애시던가...너무 불쾌했네요,79,False
훼미리손칼국수보쌈,yurika101058,210,2026.04.14,1번째 방문,영수증,건강하고 담백한 맛 칼국수까지 주니 양이 푸짐해요 인기 맛집 웨이팅 필수예요,42,True
훼미리손칼국수보쌈,bluekihun,1669,2026.04.13,6번째 방문,예약,웨이팅을 싫어해서 날씨가 따뜻한 현재는 점심은 항상 웨이팅이 걸려서 안가고 있었는데 최근 합류한 동료들은 가보지 못한 식당이라 들렸다. 20분 정도 웨이팅하고 자리에 앉았는데 행주 상태가 좋지 않아서 정리한 테이블에서 냄새가 났다. 🫢 음식은 잘 나와서 식사는 잘했지만 행주는 관리 좀 했으면 한다.,167,True
훼미리손칼국수보쌈,enz****,943,2026.04.13,8번째 방문,영수증,오늘 보쌈은 부들부들 ~~ 굿굿굿,18,True
훼미리손칼국수보쌈,빵유렁,161,2026.04.12,1번째 방문,영수증,너무 불친절해서 다시는 안가게요.. 다들 바쁘신건 알겠는데 표정들이 너무 안좋으세요,46,True
훼미리손칼국수보쌈,foodkiller,1214,2026.04.06,1번째 방문,예약,칼국수는 무난한 맛 보쌈 레전드,17,True
훼미리손칼국수보쌈,다다구구두두,16,2026.04.04,1번째 방문,영수증,1년만에 다시 먹었는데 여전히 맛있었지만 직원분 때문에 기분 좀 많이 상했어요. 들어올 때 부터 인상쓰고 주문 받으시더니 음식 놓을 때도 던지듯이 툭툭 쾅쾅 .. 추가주문 하려고 불렀을 때 눈도 분명 마주쳤는데 그냥 쌩 지나가시고 .. 바쁜 매장이란 건 알지만 차라리 기다려달라 한마디라도 해주셨으면 이렇게까지 기분은 안나빴을 거 같은데 .. 좀 그렇네요. 특히 홀에 머리 묶으신 분 인상만 쓰고 빤히 쳐다보시면 어떻게 추가주문 할까요 ? 불렀는데 대답 없으셔서 못들으셨나하는 마음에 다시 불렀다고 기분 나쁜티 내시던데 바쁜 거 파악 못하고 주문하려한 저희가 잘못한 걸까요 ? 간만에 밥먹으러 왔다가 기분 나쁜 경험해서 댓글 남깁니다.,355,False
훼미리손칼국수보쌈,아지내사랑,1011,2026.04.04,2번째 방문,영수증,서울숲갔다들렀던 칼국수 맛집 보쌈과 함께 맛있게 먹었네요,31,False
훼미리손칼국수보쌈,유키9985,54,2026.04.04,1번째 방문,예약,"맛도 그냥 평범한 사골칼국수 맛이였어요. 양이 요즘 물가에 비해 푸짐한 편이긴 했습니다. 근데 몇몇 직원분은 정말 불친절해서 다시는 안가고 싶어요. 혼자라고 하니까 대놓고 싫은 표정을 지으시고, 언짢아 하시더군요. 바쁘신건 알겠지만 혼자온 손님은 손님도 아닌가요? 오지못할 곳을 온건가요? 안좋은 후기 앵간하면 안남기는 스타일인데, 분위기는 아셨으면 해서 솔직하게 남깁니다.",209,True
훼미리손칼국수보쌈,쵸코상자,1933,2026.04.04,3번째 방문,영수증,산책하러 서울숲 갔다가 정원박람회한다고 막아놔서 이른저녁먹으러 감. 웨이팅은 보통수준이었음. 보쌈은 평소처럼 맛있었지만 칼국수는 국물이 좀 아쉬웠음. 그래도 친절한 이모님들 덕분에 찍꿍이랑 맛있는 식사하고 나옴.,118,True
훼미리손칼국수보쌈,뚜루방뚱,336,2026.04.02,1번째 방문,영수증,(평일 저녁 웨이팅 10~15분 정도 있었음) 저녁에도 정식을 먹을 수 있는 보쌈집이 있다?!🫢 보쌈 맛있고 김치 당연히 맛있고 게다가 사골 칼국수 서비스까지👍👍👍 정말 배부르게 먹고 만족한 식당입니다😊 외국분들에게 추천해도 좋을 거 같아요! 찐 한국맛😄,142,True
훼미리손칼국수보쌈,삐삐마녀,99,2026.04.02,1번째 방문,영수증,칼국수보쌈,5,False
훼미리손칼국수보쌈,qpalzm11,1969,2026.04.01,1번째 방문,영수증,지인 추천으로 방문. 대기가 많아 엄청 맛있을거라 생각하며 기다렸는데 생각보다 기대만큼은 아니라 약간 실망. 그래도 보쌈은 먹을만 했고 칼국수의 국물맛은 좋았고 만두는 만두피가 너무 두껍기만~~,108,True
