group,store,word,count
event,태양곱창,양도,70
event,태양곱창,성수,61
event,태양곱창,곱창전골,49
event,태양곱창,맛집,44
event,태양곱창,야채,43
event,태양곱창,볶음밥,37
event,태양곱창,추천,35
event,태양곱창,웨이,32
event,태양곱창,태양,30
event,태양곱창,전골,28
event,태양곱창,직원,28
event,태양곱창,국물,25
event,태양곱창,추가,24
event,태양곱창,처음,24
event,태양곱창,냄새,23
event,태양곱창,바로,21
event,태양곱창,치즈,21
event,태양곱창,최고,20
event,태양곱창,안나,20
event,태양곱창,당면,20
event,태양곱창,매장,19
event,태양곱창,음식,19
event,태양곱창,돼지,18
event,태양곱창,웨이팅,17
event,태양곱창,국밥,17
event,태양곱창,하나,16
event,태양곱창,저녁,16
event,태양곱창,매콤,15
event,태양곱창,보고,15
event,태양곱창,감자전,14
event,태양곱창,사람,14
event,태양곱창,친구,14
event,태양곱창,역시,12
event,태양곱창,먹기,11
event,태양곱창,볶음,10
event,태양곱창,입장,9
event,태양곱창,메뉴,9
event,태양곱창,인분,9
event,태양곱창,의사,9
event,태양곱창,생각,9
event,태양곱창,인스타,9
event,태양곱창,기본,9
event,태양곱창,야곱,8
event,태양곱창,항상,8
event,태양곱창,점심,8
event,태양곱창,존맛,7
event,태양곱창,콘치,7
event,태양곱창,성수동,7
event,태양곱창,시간,7
event,태양곱창,가게,7
event,태양곱창,계속,7
event,태양곱창,테이블,7
event,태양곱창,가성,6
event,태양곱창,다른,6
event,태양곱창,대박,6
event,태양곱창,강추,6
event,태양곱창,두번째,6
event,태양곱창,막창,6
event,태양곱창,이유,6
event,태양곱창,마무리,6
event,태양곱창,반찬,6
event,태양곱창,구이,6
event,태양곱창,평일,6
event,태양곱창,무조건,6
event,태양곱창,한번,6
event,태양곱창,분위기,6
event,태양곱창,들깨,6
event,태양곱창,굿굿,5
event,태양곱창,조합,5
event,태양곱창,오시,5
event,태양곱창,조금,5
event,태양곱창,소스,5
event,태양곱창,필수,5
event,태양곱창,금방,5
event,태양곱창,한잔,5
event,태양곱창,데이트,5
event,태양곱창,제대로,5
event,태양곱창,아이,4
event,태양곱창,인정,4
event,태양곱창,도리,4
event,태양곱창,소금,4
event,태양곱창,양념,4
event,태양곱창,여자친구,4
event,태양곱창,계란,4
event,태양곱창,특유,4
event,태양곱창,살짝,4
event,태양곱창,우선,4
event,태양곱창,순대,4
event,태양곱창,마지막,4
event,태양곱창,식사,4
event,태양곱창,수오,4
event,태양곱창,만족,4
event,태양곱창,주문,4
event,태양곱창,소맥,3
event,태양곱창,약간,3
event,태양곱창,남편,3
event,태양곱창,자극,3
event,태양곱창,쫄깃해,3
event,태양곱창,어유,3
event,태양곱창,만큼,3
normal,쭌곱창,사장,82
normal,쭌곱창,홍대,63
normal,쭌곱창,소스,53
normal,쭌곱창,분위기,49
normal,쭌곱창,세트,45
normal,쭌곱창,추천,42
normal,쭌곱창,맛집,42
normal,쭌곱창,음식,38
normal,쭌곱창,친구,35
normal,쭌곱창,메뉴,35
normal,쭌곱창,처음,33
normal,쭌곱창,양념,32
normal,쭌곱창,양도,32
normal,쭌곱창,가성,32
normal,쭌곱창,최고,31
normal,쭌곱창,생크림,30
normal,쭌곱창,매콤,28
normal,쭌곱창,직원,28
normal,쭌곱창,닭발,25
normal,쭌곱창,파인애플,25
normal,쭌곱창,구성,24
normal,쭌곱창,자주,22
normal,쭌곱창,갈비,21
normal,쭌곱창,불맛,21
normal,쭌곱창,계란찜,19
normal,쭌곱창,강추,19
normal,쭌곱창,하나,17
normal,쭌곱창,직접,15
normal,쭌곱창,조합,15
normal,쭌곱창,가게,15
normal,쭌곱창,항상,14
normal,쭌곱창,지인,12
normal,쭌곱창,방법,12
normal,쭌곱창,예약,12
normal,쭌곱창,안나,11
normal,쭌곱창,불쇼,11
normal,쭌곱창,고기,11
normal,쭌곱창,설명,11
normal,쭌곱창,가격,11
normal,쭌곱창,비주,10
normal,쭌곱창,불향,10
normal,쭌곱창,비도,10
normal,쭌곱창,볶음밥,10
normal,쭌곱창,생각,10
normal,쭌곱창,계속,9
normal,쭌곱창,여자친구,9
normal,쭌곱창,데이트,9
normal,쭌곱창,의사,9
normal,쭌곱창,매장,9
normal,쭌곱창,냄새,9
normal,쭌곱창,아주,9
normal,쭌곱창,기분,8
normal,쭌곱창,식사,8
normal,쭌곱창,다른,8
normal,쭌곱창,치즈,8
normal,쭌곱창,주먹밥,8
normal,쭌곱창,한번,8
normal,쭌곱창,사이드,8
normal,쭌곱창,사람,7
normal,쭌곱창,두번째,7
normal,쭌곱창,역시,7
normal,쭌곱창,먹기,7
normal,쭌곱창,시간,6
normal,쭌곱창,무엇,6
normal,쭌곱창,또또,6
normal,쭌곱창,다시,6
normal,쭌곱창,존맛,6
normal,쭌곱창,깻잎,6
normal,쭌곱창,무조건,6
normal,쭌곱창,법도,6
normal,쭌곱창,번창,6
normal,쭌곱창,서비스,6
normal,쭌곱창,밑반찬,6
normal,쭌곱창,저녁,6
normal,쭌곱창,모임,6
normal,쭌곱창,사진,6
normal,쭌곱창,제일,6
normal,쭌곱창,대박,6
normal,쭌곱창,보고,5
normal,쭌곱창,공간,5
normal,쭌곱창,끼리,5
normal,쭌곱창,토치,5
normal,쭌곱창,육회,5
normal,쭌곱창,벌써,5
normal,쭌곱창,돼지,5
normal,쭌곱창,달달,5
normal,쭌곱창,해주시,5
normal,쭌곱창,어묵,5
normal,쭌곱창,이제,5
normal,쭌곱창,반찬,5
normal,쭌곱창,저번,4
normal,쭌곱창,재미,4
normal,쭌곱창,숙주,4
normal,쭌곱창,소주,4
normal,쭌곱창,중화,4
normal,쭌곱창,바로,4
normal,쭌곱창,자극,4
normal,쭌곱창,가요,4
normal,쭌곱창,예전,4
